2020-07-22 22:01:21 

# COVERAGE 
TF	POSITION_RELATIVE_TO_TFBS	MEAN_DEPTH	CI95_LOWER_BOUND	CI95_UPPER_BOUND	TFBS_ANALYZED	LOW	HIGH
SRR11742864_Androgen	-5000	1.09366792587106	1.06213857916537	1.12519727257676	4997	0.969699484708175	0.99900902091858
SRR11742864_Androgen	-4999	1.09115246169196	1.05972698198827	1.12257794139564	4997	0.969664403717427	0.999272972086862
SRR11742864_Androgen	-4998	1.09590389403027	1.06443679061008	1.12737099745046	4997	0.969629383028089	0.999529761629356
SRR11742864_Androgen	-4997	1.09786036616957	1.06629930089181	1.12942143144734	4997	0.969594423189849	0.999779449921636
SRR11742864_Androgen	-4996	1.09646288607007	1.06494588768505	1.12797988445509	4997	0.969559523242093	1.00002209890995
SRR11742864_Androgen	-4995	1.09674238208997	1.06521387966311	1.12827088451684	4997	0.969524684454847	1.00025776825146
SRR11742864_Androgen	-4994	1.09143195771186	1.06002183384431	1.12284208157941	4997	0.969489906886046	1.00048651886244
SRR11742864_Androgen	-4993	1.09199094975166	1.06054424420627	1.12343765529705	4997	0.969455188804216	1.00070841351963
SRR11742864_Androgen	-4992	1.09506540597057	1.06363963942661	1.12649117251452	4997	0.969420531887654	1.00092351149055
SRR11742864_Androgen	-4991	1.09562439801037	1.06428332267903	1.12696547334171	4997	0.969385934901068	1.00113187506323
SRR11742864_Androgen	-4990	1.09618339005017	1.06487991614579	1.12748686395455	4997	0.969351398519916	1.00133356456295
SRR11742864_Androgen	-4989	1.09450641393077	1.06321168548439	1.12580114237715	4997	0.969316922354115	1.00152864142613
SRR11742864_Androgen	-4988	1.09478590995067	1.06342559333837	1.12614622656297	4997	0.969282506446444	1.00171716665488
SRR11742864_Androgen	-4987	1.09478590995067	1.06368289477384	1.1258889251275	4997	0.969248151095901	1.00189920099654
SRR11742864_Androgen	-4986	1.09478590995067	1.06368969461466	1.12588212528668	4997	0.969213856597852	1.0020748052128
SRR11742864_Androgen	-4985	1.09674238208997	1.06565971643723	1.12782504774272	4997	0.969179621140754	1.00224404225615
SRR11742864_Androgen	-4984	1.09115246169196	1.06020845275529	1.12209647062863	4997	0.969145446891988	1.00240697097485
SRR11742864_Androgen	-4983	1.09059346965216	1.05970717919262	1.12147976011169	4997	0.969111332393235	1.00256365397783
SRR11742864_Androgen	-4982	1.09087296567206	1.06003656688645	1.12170936445767	4997	0.969077277997214	1.00271415201217
SRR11742864_Androgen	-4981	1.09115246169196	1.0602221238448	1.12208279953912	4997	0.96904328407267	1.00285852581887
SRR11742864_Androgen	-4980	1.08723951741335	1.0565430834802	1.1179359513465	4997	0.969009350452877	1.00299683670381
SRR11742864_Androgen	-4979	1.08891649353275	1.05815588123558	1.11967710582993	4997	0.968975476227406	1.00312914675389
SRR11742864_Androgen	-4978	1.09143195771186	1.06061313752071	1.12225077790301	4997	0.968941661964015	1.00325551653656
SRR11742864_Androgen	-4977	1.08751901343325	1.05678318894667	1.11825483791983	4997	0.968907908468576	1.00337600638344
SRR11742864_Androgen	-4976	1.09087296567206	1.05997490757992	1.12177102376419	4997	0.968874214624132	1.00349067862756
SRR11742864_Androgen	-4975	1.08835750149295	1.05764808748348	1.11906691550243	4997	0.968840581161887	1.00359959369941
SRR11742864_Androgen	-4974	1.08500354925415	1.05433315818529	1.115673940323	4997	0.96880700638135	1.00370281455807
SRR11742864_Androgen	-4973	1.08528304527405	1.05460077618217	1.11596531436592	4997	0.968773492217543	1.00380040040809
SRR11742864_Androgen	-4972	1.08835750149295	1.05764808748348	1.11906691550243	4997	0.968740038739903	1.00389241239626
SRR11742864_Androgen	-4971	1.09450641393077	1.06366090101021	1.12535192685132	4997	0.968706643985708	1.00397891378617
SRR11742864_Androgen	-4970	1.09282943781136	1.06201343002723	1.12364544559549	4997	0.96867330980843	1.00405996389744
SRR11742864_Androgen	-4969	1.09031397363226	1.05949430070629	1.12113364655822	4997	0.968640034791681	1.00413562544878
SRR11742864_Androgen	-4968	1.09143195771186	1.06067495567697	1.12218895974675	4997	0.968606819937471	1.00420595866279
SRR11742864_Androgen	-4967	1.09366792587106	1.06287833813071	1.12445751361141	4997	0.968573664781184	1.0042710252926
SRR11742864_Androgen	-4966	1.09031397363226	1.0595080269737	1.12111992029082	4997	0.968540569330726	1.00433088661194
SRR11742864_Androgen	-4965	1.08947548557256	1.0587393554177	1.12021161572741	4997	0.968507533323256	1.00438560418562
SRR11742864_Androgen	-4964	1.08584203731385	1.05521878567517	1.11646528895252	4997	0.968474556822738	1.00443523924989
SRR11742864_Androgen	-4963	1.08472405323425	1.05420381145876	1.11524429500973	4997	0.968441640304916	1.00447985262409
SRR11742864_Androgen	-4962	1.08528304527405	1.0547458581995	1.1158202323486	4997	0.968408782716283	1.00451950672388
SRR11742864_Androgen	-4961	1.08164959701534	1.05105301623628	1.1122461777944	4997	0.968375985175914	1.00455426172166
SRR11742864_Androgen	-4960	1.08081110895564	1.05024341521799	1.11137880269328	4997	0.968343247105301	1.00458417956077
SRR11742864_Androgen	-4959	1.07326471641832	1.04280568304525	1.10372374979139	4997	0.968310568822314	1.00460932126474
SRR11742864_Androgen	-4958	1.06935177213971	1.03903373523418	1.09966980904524	4997	0.968277949579248	1.00462974897277
